time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,compassAngle,speed,gpsX,gpsY,truePosX,truePosY,steering,true_deltaX,true_deltaY,predict
0,0.05000,0.04388,0.00000,9.82742,-0.00000,-0.00001,0.00000,-1.57079,0.00015,-5.29208,-5.14243,0.00141,-0.00000,0.00,0.00000011,-0.00000000,0.0
1,0.10000,-0.03317,0.00200,9.86381,-0.00034,0.00085,0.00058,-1.57080,0.00016,-5.45947,-6.95592,0.00224,0.00003,0.00,0.00082938,0.00003430,0.0
2,0.15000,-4.24070,-0.00722,9.81816,0.00039,0.03154,-0.00017,-1.57083,0.01391,-5.45672,-8.45834,0.01240,0.00005,0.00,0.01015306,0.00001344,0.0
3,0.20000,-9.46505,0.00269,9.91009,0.00022,0.09332,-0.00007,-1.57083,0.78290,-4.40028,-6.98812,0.03974,0.00005,0.00,0.02734346,0.00000700,0.0
4,0.25000,-3.42444,0.00260,10.00380,0.00000,0.03964,-0.00001,-1.57083,2.48007,-7.03109,-7.78962,0.08253,0.00005,0.00,0.04279344,-0.00000011,0.0
5,0.30000,-4.07943,0.00104,9.81552,-0.00007,0.00027,-0.00000,-1.57083,3.09033,-8.19349,-7.06680,0.13350,0.00006,0.00,0.05096596,0.00000041,0.0
6,0.35000,-4.43167,0.00001,9.63258,-0.00007,-0.02148,-0.00000,-1.57083,3.82281,-7.25241,-6.44868,0.19510,0.00006,0.00,0.06160261,0.00000052,0.0
7,0.40000,-4.08696,-0.00048,9.67885,-0.00004,-0.02923,-0.00000,-1.57083,4.61101,-10.56561,-5.33805,0.26684,0.00006,0.00,0.07174127,0.00000137,0.0
8,0.45000,-3.91559,-0.00048,9.68218,-0.00000,-0.02465,-0.00000,-1.57083,5.34441,-12.41717,-4.52339,0.34848,0.00006,0.00,0.08163636,0.00000231,0.0
9,0.50000,-3.82454,-0.00024,9.78836,0.00002,-0.01377,0.00000,-1.57083,6.04913,-10.11590,-7.29108,0.43988,0.00006,0.00,0.09140071,0.00000298,0.0
10,0.55000,-3.80288,-0.00001,9.81798,0.00002,-0.00240,0.00000,-1.57083,6.73774,-6.00807,-6.77010,0.54101,0.00007,0.00,0.10112646,0.00000334,0.0
11,0.60000,-3.87726,0.00010,9.90125,0.00001,0.00565,0.00000,-1.57083,7.42419,-2.35872,-8.77498,0.65190,0.00007,0.00,0.11089114,0.00000354,0.0
12,0.65000,-3.92739,0.00011,9.97955,0.00000,0.00903,0.00000,-1.57083,8.11833,-3.94174,-8.95179,0.77263,0.00007,-0.01,0.12073032,0.00000370,0.0
13,0.70000,-4.36444,-0.03757,9.87520,-0.00058,0.01130,-0.00173,-1.57078,8.82382,-3.27938,-10.47042,0.90418,0.00006,-0.01,0.13155473,-0.00001343,0.0
14,0.75000,-3.53931,-0.05393,9.89339,-0.00059,0.00220,-0.00363,-1.57064,9.60948,-1.81175,-9.99257,1.04466,0.00006,-0.01,0.14047720,0.00000329,0.0
15,0.80000,-4.12017,-0.03833,9.80630,0.00004,0.00073,-0.00499,-1.57041,10.24435,-0.34532,-8.88137,1.19522,0.00006,-0.01,0.15056378,-0.00000312,0.0
16,0.85000,-4.40442,-0.02628,9.76528,0.00048,0.00150,-0.00623,-1.57013,10.98688,-2.40502,-8.36742,1.35669,0.00003,-0.08,0.16147033,-0.00003405,0.0
17,0.90000,-1.72677,-0.45982,9.75002,-0.00182,-0.02296,-0.03822,-1.56895,11.77598,-1.24746,-7.89891,1.52390,-0.00084,-0.08,0.16721200,-0.00086447,0.0
18,0.95000,0.00985,-0.44550,9.72852,-0.00465,-0.04261,-0.05693,-1.56644,12.08596,0.61716,-6.19719,1.69110,-0.00180,-0.01,0.16719410,-0.00096003,0.0
19,1.00000,0.05754,0.18856,9.74030,0.00405,-0.03907,-0.04066,-1.56396,12.08878,-0.37786,-5.92591,1.85823,-0.00233,-0.02,0.16713401,-0.00052950,0.0
20,1.05000,0.21135,0.37426,9.81051,0.01070,-0.02384,-0.03245,-1.56221,12.08461,0.90414,-7.02540,2.02528,-0.00331,-0.02,0.16704279,-0.00097975,0.0
21,1.10000,0.28868,0.30185,9.86174,0.00505,-0.00648,-0.02933,-1.56069,12.05523,0.09277,-4.84427,2.19205,-0.00473,-0.02,0.16677764,-0.00142355,0.0
22,1.15000,0.24075,0.23383,9.95962,-0.00145,0.00682,-0.02799,-1.55927,12.01337,3.40005,-3.34579,2.35858,-0.00653,-0.02,0.16653046,-0.00180279,0.0
23,1.20000,0.14365,0.18156,9.87776,-0.00414,0.01324,-0.02556,-1.55794,11.98016,7.43314,-4.66927,2.52497,-0.00859,-0.02,0.16638797,-0.00205720,0.0
24,1.25000,0.04760,0.09984,9.90752,-0.00369,0.01314,-0.02589,-1.55666,11.96383,6.42652,-0.98379,2.69133,-0.01093,-0.02,0.16635923,-0.00233993,0.0
25,1.30000,-0.01471,0.06410,9.88614,-0.00224,0.00885,-0.02572,-1.55537,11.96364,5.18164,-0.07600,2.85774,-0.01345,-0.02,0.16640901,-0.00251428,0.0
26,1.35000,-0.03881,0.07793,9.73956,-0.00028,0.00326,-0.02474,-1.55411,11.97368,2.74859,-1.10872,3.02424,-0.01612,-0.02,0.16649828,-0.00267703,0.0
27,1.40000,-0.02870,0.11428,9.74914,0.00096,-0.00139,-0.02245,-1.55294,11.98745,3.09889,-2.68073,3.19082,-0.01895,-0.03,0.16658588,-0.00282849,0.0
28,1.45000,0.00270,0.06159,9.78019,0.00060,-0.00400,-0.02503,-1.55175,11.99935,3.04304,-3.08825,3.35746,-0.02209,-0.03,0.16663760,-0.00313866,0.0
