time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,compassAngle,speed,gpsX,gpsY,truePosX,truePosY,steering,true_deltaX,true_deltaY,predict
0,0.05000,0.04387,-0.00000,9.82742,-0.00000,-0.00001,0.00000,-1.57079,0.00015,-5.29207,-5.14243,0.00142,-0.00000,-0.02,0.00000009,-0.00000000,0.0
1,0.10000,0.04400,0.00322,9.86348,0.00002,-0.00002,-0.00036,-1.57077,0.00016,-5.45947,-6.95592,0.00142,-0.00005,-0.02,0.00000027,-0.00004625,0.0
2,0.15000,0.04406,0.00043,9.76077,-0.00012,-0.00001,-0.00010,-1.57076,0.00057,-5.45675,-8.45834,0.00142,-0.00006,-0.02,0.00000037,-0.00001507,0.0
3,0.20000,0.04436,-0.00218,9.80792,-0.00001,-0.00001,-0.00006,-1.57075,0.00062,-4.40835,-6.98814,0.00142,-0.00007,-0.02,0.00000029,-0.00000797,0.0
4,0.25000,0.04428,-0.00152,9.87299,0.00008,-0.00000,-0.00004,-1.57075,0.00022,-7.06009,-7.78964,0.00142,-0.00007,-0.02,0.00000015,-0.00000440,0.0
5,0.30000,0.04390,-0.00048,9.85153,0.00010,0.00000,-0.00002,-1.57075,0.00008,-8.26309,-7.06683,0.00142,-0.00007,-0.02,0.00000001,-0.00000111,0.0
6,0.35000,0.04428,0.00103,9.78966,0.00003,0.00000,-0.00002,-1.57075,0.00018,-7.37070,-6.44871,0.00142,-0.00008,-0.02,0.00000001,-0.00000257,0.0
7,0.40000,0.04406,0.00017,9.87189,0.00002,0.00000,-0.00002,-1.57075,0.00001,-10.74364,-5.33807,0.00142,-0.00008,-0.02,0.00000001,-0.00000188,0.0
8,0.45000,0.04407,0.00018,9.81940,0.00002,0.00000,-0.00002,-1.57075,0.00001,-12.66539,-4.52342,0.00142,-0.00008,-0.02,0.00000001,-0.00000163,0.0
9,0.50000,0.04415,0.00019,9.82273,0.00002,0.00000,-0.00001,-1.57075,0.00001,-10.44424,-7.29111,0.00142,-0.00008,-0.02,0.00000001,-0.00000149,0.0
10,0.55000,0.04408,0.00020,9.75567,0.00001,0.00000,-0.00001,-1.57074,0.00001,-6.42618,-6.77013,0.00142,-0.00008,-0.02,0.00000001,-0.00000141,0.0
11,0.60000,0.04442,0.00022,9.78619,0.00002,0.00000,-0.00002,-1.57074,0.00000,-2.87612,-8.77501,0.00142,-0.00009,-0.02,0.00000001,-0.00000221,0.0
12,0.65000,0.04423,0.00023,9.86589,0.00001,0.00000,-0.00001,-1.57074,0.00000,-4.56802,-8.95183,0.00142,-0.00009,-0.02,0.00000001,-0.00000168,0.0
