time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,compassAngle,gpsX,gpsY,truePosX,truePosY
0.00000,0.00000,0.00000,9.76915,0.00000,0.00000,0.00000,-1.56761,0.00000,0.00000,-45.00000,45.88000,0.00
0.05000,-0.00227,-0.00001,-0.00008,0.00000,-0.00047,0.00000,-1.56761,-46.30000,45.88000,-45.00000,45.88000,-0.01
0.10000,4.08608,0.01580,5.13793,0.00038,-0.06066,-0.00018,-1.56760,-46.30000,45.88000,-45.00777,45.87998,-0.05
0.15000,6.25944,0.09577,13.14457,0.00148,-0.11096,0.00159,-1.56757,-46.30412,45.88000,-45.03286,45.87984,-0.06
0.20000,4.05076,0.15422,15.50426,0.00229,-0.09185,0.00735,-1.56782,-46.32484,45.87993,-45.06783,45.87973,-0.01
0.25000,4.72476,0.05925,15.18308,0.00074,-0.04923,0.00973,-1.56835,-46.35613,45.87953,-45.11306,45.87974,-0.02
0.30000,4.79228,0.03281,13.09000,-0.00018,0.00179,0.00863,-1.56878,-46.39807,45.87886,-45.16887,45.87960,-0.01
0.35000,4.68419,0.03481,10.57114,-0.00104,0.04177,0.00882,-1.56923,-46.45143,45.87819,-45.23525,45.87944,-0.02
0.40000,4.36389,0.04018,8.79077,-0.00083,0.05913,0.00910,-1.56966,-46.51619,45.87743,-45.31202,45.87919,-0.02
0.45000,3.97531,0.04279,7.95298,-0.00048,0.05308,0.00986,-1.57015,-46.59186,45.87661,-45.39884,45.87889,-0.02
0.50000,3.75105,0.05339,8.06041,0.00010,0.03117,0.01072,-1.57066,-46.67769,45.87569,-45.49534,45.87851,-0.02
0.55000,3.67322,0.07194,8.70583,0.00055,0.00458,0.01215,-1.57124,-46.77298,45.87466,-45.60133,45.87805,-0.02
0.60000,3.75299,0.07195,9.46194,0.00058,-0.01659,0.01327,-1.57188,-46.87733,45.87347,-45.71683,45.87747,-0.02
0.65000,3.90592,0.08426,10.02426,0.00071,-0.02659,0.01451,-1.57258,-46.99077,45.87209,-45.84202,45.87675,-0.02
0.70000,4.06772,0.10310,10.31876,0.00082,-0.02502,0.01626,-1.57335,-47.11359,45.87051,-45.97709,45.87587,-0.02
0.75000,4.18110,0.12125,10.25852,0.00093,-0.01559,0.01830,-1.57422,-47.24621,45.86867,-46.12218,45.87479,-0.02
0.80000,4.23244,0.12795,10.07267,0.00073,-0.00370,0.02018,-1.57520,-47.38893,45.86652,-46.27736,45.87350,-0.02
0.85000,4.20556,0.11956,9.89600,0.00037,0.00595,0.02138,-1.57625,-47.54194,45.86401,-46.44264,45.87194,-0.02
0.90000,4.12675,0.12163,9.71695,0.00023,0.01078,0.02243,-1.57735,-47.70523,45.86116,-46.61794,45.87010,-0.02
0.95000,4.03905,0.12246,9.55416,0.00024,0.01062,0.02340,-1.57850,-47.87868,45.85795,-46.80318,45.86795,-0.02
