time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,compassAngle,speed,gpsX,gpsY,truePosX,truePosY,steering,true_deltaX,true_deltaY,predict
0,0.05000,1.49619,0.00000,9.87419,0.00000,-0.01440,-0.00000,-1.57079,0.00000,-5.45946,-6.95592,-0.00108,0.00000,-0.02,-0.00250458,0.00000001,0.0
1,0.10000,3.91361,0.01299,9.67473,0.00019,-0.03681,0.00003,-1.57077,0.26067,-5.45800,-8.45834,-0.01294,-0.00005,-0.02,-0.01185770,-0.00004764,0.0
2,0.15000,4.05057,0.02795,9.69396,0.00030,-0.03761,0.00132,-1.57082,0.95436,-4.41894,-6.98814,-0.03475,-0.00007,-0.01,-0.02180965,-0.00002044,0.0
3,0.20000,4.21857,0.02956,9.79119,0.00040,-0.02559,0.00244,-1.57092,1.66622,-7.08984,-7.78971,-0.06660,-0.00009,-0.02,-0.03184861,-0.00001974,0.0
4,0.25000,4.26350,0.03318,9.83134,0.00037,-0.00947,0.00343,-1.57107,2.40720,-8.32213,-7.06704,-0.10863,-0.00013,-0.02,-0.04202602,-0.00003926,0.0
5,0.30000,4.28260,0.03649,9.82106,0.00023,0.00405,0.00449,-1.57127,3.16096,-7.46944,-6.44914,-0.16082,-0.00019,-0.02,-0.05219241,-0.00006073,0.0
6,0.35000,4.17057,0.05112,9.92037,0.00032,0.01148,0.00591,-1.57153,3.90905,-10.89253,-5.33883,-0.22309,-0.00029,-0.02,-0.06226950,-0.00010529,0.0
7,0.40000,4.07798,0.05001,9.84773,0.00016,0.01257,0.00741,-1.57188,4.64237,-12.87471,-4.52460,-0.29532,-0.00042,-0.02,-0.07223690,-0.00013041,0.0
8,0.45000,4.01725,0.04960,9.80929,0.00015,0.00922,0.00858,-1.57228,5.35989,-10.72402,-7.29286,-0.37744,-0.00061,-0.02,-0.08211862,-0.00019143,0.0
9,0.50000,3.98050,0.05093,9.70025,0.00013,0.00409,0.00981,-1.57275,6.06618,-6.78629,-6.77258,-0.46940,-0.00087,-0.02,-0.09195593,-0.00025177,0.0
10,0.55000,4.01642,0.06193,9.70449,0.00034,-0.00054,0.01122,-1.57327,6.76771,-3.32633,-8.77831,-0.57119,-0.00121,-0.02,-0.10179043,-0.00033901,0.0
11,0.60000,4.02359,0.07664,9.77983,0.00054,-0.00337,0.01301,-1.57389,7.47021,-5.11808,-8.95613,-0.68284,-0.00164,-0.02,-0.11164822,-0.00043714,0.0
12,0.65000,4.03983,0.08326,9.73045,0.00058,-0.00414,0.01477,-1.57459,8.17696,-4.68398,-10.47597,-0.80438,-0.00220,-0.02,-0.12154002,-0.00056020,0.0
13,0.70000,4.07528,0.08771,9.83567,0.00052,-0.00333,0.01638,-1.57538,8.88880,-3.46502,-9.99959,-0.93584,-0.00291,-0.02,-0.13146152,-0.00070939,0.0
14,0.75000,4.06838,0.09564,9.82066,0.00050,-0.00176,0.01799,-1.57624,9.60462,-2.26662,-8.89027,-1.07724,-0.00380,-0.02,-0.14140004,-0.00088718,0.0
15,0.80000,4.09323,0.09029,9.80599,0.00032,-0.00018,0.01919,-1.57719,10.32242,-4.61418,-8.37857,-1.22858,-0.00488,-0.02,-0.15134269,-0.00108392,0.0
16,0.85000,4.09148,0.10220,9.80303,0.00047,0.00091,0.02052,-1.57818,11.04038,-3.76524,-7.91267,-1.38986,-0.00620,-0.02,-0.16127979,-0.00132072,0.0
17,0.90000,4.04583,0.11807,9.80877,0.00065,0.00134,0.02223,-1.57926,11.75720,-2.22690,-6.21437,-1.56107,-0.00778,-0.02,-0.17120412,-0.00157843,0.0
18,0.95000,4.03448,0.13907,9.79025,0.00091,0.00122,0.02422,-1.58042,12.47231,-3.55903,-5.94826,-1.74218,-0.00966,-0.02,-0.18111727,-0.00188213,0.0
19,1.00000,4.07409,0.14858,9.78209,0.00087,0.00076,0.02611,-1.58169,13.18599,-2.62403,-7.05364,-1.93321,-0.01189,-0.02,-0.19102224,-0.00222024,0.0
20,1.05000,4.04923,0.15925,9.75231,0.00084,0.00022,0.02789,-1.58305,13.89881,-3.79207,-4.87786,-2.13413,-0.01450,-0.03,-0.20092502,-0.00261093,0.0
21,1.10000,4.03545,0.20221,9.80336,0.00127,-0.00018,0.03076,-1.58451,14.61147,-0.85080,-3.38442,-2.34496,-0.01755,-0.03,-0.21082472,-0.00305459,0.0
22,1.15000,4.06409,0.23189,9.72705,0.00150,-0.00038,0.03403,-1.58615,15.32418,2.80691,-4.71288,-2.56568,-0.02110,-0.02,-0.22072240,-0.00355293,0.0
23,1.20000,4.06218,0.20123,9.80084,0.00066,-0.00042,0.03524,-1.58791,16.03721,1.41535,-1.03261,-2.79630,-0.02521,-0.03,-0.23062710,-0.00410544,0.0
24,1.25000,4.06456,0.20598,9.84038,0.00047,-0.00032,0.03624,-1.58969,16.75113,-0.22428,-0.13040,-3.03684,-0.02993,-0.02,-0.24053875,-0.00472469,0.0
