time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,compassAngle,speed,gpsX,gpsY,truePosX,truePosY,steering,true_deltaX,true_deltaY,predict
0,0.05000,1.49619,0.00000,9.87419,0.00000,-0.01440,-0.00000,-1.57079,0.00000,-5.45946,-6.95592,-0.00108,0.00000,-0.02,-0.00250458,0.00000001,0.0
1,0.10000,3.91361,0.01307,9.67473,0.00019,-0.03681,0.00003,-1.57077,0.26067,-5.45800,-8.45834,-0.01294,-0.00005,-0.02,-0.01185770,-0.00004791,0.0
2,0.15000,4.05057,0.02761,9.69396,0.00029,-0.03761,0.00132,-1.57082,0.95436,-4.41894,-6.98814,-0.03475,-0.00007,-0.01,-0.02180966,-0.00001936,0.0
3,0.20000,4.21859,0.02878,9.79119,0.00039,-0.02559,0.00240,-1.57092,1.66622,-7.08984,-7.78971,-0.06660,-0.00009,-0.01,-0.03184867,-0.00001918,0.0
4,0.25000,4.26352,0.03229,9.83134,0.00036,-0.00947,0.00337,-1.57106,2.40720,-8.32213,-7.06704,-0.10863,-0.00012,-0.02,-0.04202615,-0.00003854,0.0
5,0.30000,4.28261,0.03632,9.82106,0.00024,0.00405,0.00442,-1.57126,3.16097,-7.46944,-6.44914,-0.16082,-0.00019,-0.02,-0.05219257,-0.00006060,0.0
6,0.35000,4.17056,0.05136,9.92037,0.00033,0.01148,0.00585,-1.57152,3.90906,-10.89253,-5.33882,-0.22309,-0.00029,-0.02,-0.06226965,-0.00010423,0.0
7,0.40000,4.07794,0.05138,9.84774,0.00019,0.01257,0.00740,-1.57187,4.64238,-12.87471,-4.52459,-0.29533,-0.00042,-0.02,-0.07223697,-0.00013027,0.0
8,0.45000,4.01721,0.05043,9.80929,0.00015,0.00922,0.00861,-1.57227,5.35989,-10.72403,-7.29284,-0.37744,-0.00061,-0.02,-0.08211855,-0.00018991,0.0
9,0.50000,3.98051,0.05090,9.70025,0.00013,0.00409,0.00982,-1.57274,6.06617,-6.78630,-6.77256,-0.46940,-0.00086,-0.02,-0.09195589,-0.00025105,0.0
10,0.55000,4.01646,0.06065,9.70449,0.00031,-0.00054,0.01119,-1.57326,6.76771,-3.32633,-8.77829,-0.57119,-0.00120,-0.02,-0.10179047,-0.00033737,0.0
11,0.60000,4.02364,0.07578,9.77982,0.00052,-0.00337,0.01295,-1.57387,7.47021,-5.11808,-8.95611,-0.68284,-0.00163,-0.02,-0.11164841,-0.00043607,0.0
12,0.65000,4.03982,0.08325,9.73045,0.00059,-0.00414,0.01472,-1.57457,8.17697,-4.68398,-10.47594,-0.80438,-0.00219,-0.02,-0.12154019,-0.00055797,0.0
13,0.70000,4.07522,0.08923,9.83567,0.00055,-0.00333,0.01640,-1.57536,8.88881,-3.46502,-9.99956,-0.93584,-0.00290,-0.02,-0.13146156,-0.00070764,0.0
14,0.75000,4.06850,0.09229,9.82067,0.00045,-0.00176,0.01789,-1.57623,9.60462,-2.26662,-8.89024,-1.07724,-0.00378,-0.02,-0.14140021,-0.00088199,0.0
15,0.80000,4.09307,0.09592,9.80599,0.00042,-0.00018,0.01928,-1.57716,10.32244,-4.61419,-8.37854,-1.22858,-0.00487,-0.02,-0.15134284,-0.00108536,0.0
16,0.85000,4.09111,0.10754,9.80304,0.00053,0.00091,0.02081,-1.57817,11.04038,-3.76524,-7.91263,-1.38983,-0.00617,-0.02,-0.16124287,-0.00130482,0.0
17,0.90000,1.89661,0.10314,9.83171,-0.00030,0.02144,0.02482,-1.57937,11.75713,-2.22690,-6.21434,-1.55697,-0.00752,-0.02,-0.16714604,-0.00135112,0.0
18,0.95000,0.10402,0.08953,9.87901,0.00067,0.03975,0.02507,-1.58061,12.08465,-3.55664,-5.94822,-1.72424,-0.00908,-0.02,-0.16726445,-0.00155542,0.0
19,1.00000,0.02569,0.08589,9.89139,0.00052,0.03675,0.02474,-1.58186,12.09122,-2.61039,-7.05341,-1.89147,-0.01086,-0.02,-0.16723571,-0.00177832,0.0
20,1.05000,-0.14844,0.08604,9.82390,0.00004,0.02272,0.02466,-1.58310,12.08704,-3.75728,-4.87720,-2.05854,-0.01285,-0.02,-0.16706363,-0.00198949,0.0
